,Open_gradient,Open_mean,Open_median,Open_std,Bullish_gradient,Bullish_mean,Bullish_median,Bullish_std,Neutral_gradient,Neutral_mean,Neutral_median,Neutral_std,Bearish_gradient,Bearish_mean,Bearish_median,Bearish_std,Volume_gradient,Volume_mean,Volume_median,Volume_std
1987-09-18,1.30462962963,104.637037037,102.208333333,6.87716645002,0.0159293555263,0.457158207427,0.45,0.111822811148,0.00454973038893,0.294744624185,0.28,0.121980308209,-0.0204789635245,0.248097086794,0.27,0.0964152172318,-4243893.33333,84552533.3333,78307200.0,31195410.2064
1987-09-25,1.98287037037,106.501851852,103.333333333,7.63665803564,0.0266666666667,0.481111111111,0.5,0.116661375541,-0.0211111111111,0.292222222222,0.28,0.121817511766,-0.00555555555556,0.226666666667,0.26,0.103064165558,-1168373.33333,81752213.3333,67929600.0,32513265.582
1987-10-02,-6.44444444444,102.825925926,103.333333333,14.6047823453,0.0427777777778,0.5,0.52,0.109036181559,-0.0594444444444,0.255555555556,0.23,0.101774381312,0.0166666666667,0.244444444444,0.27,0.100345083599,8704622.22222,83944094.8148,78307200.0,31963974.0122
1987-10-09,-3.25462962963,99.0342592593,103.333333333,18.9698340959,-0.0244444444444,0.52,0.52,0.074087035903,0.0283333333333,0.231111111111,0.23,0.0645401588065,-0.00388888888889,0.248888888889,0.29,0.101810766124,-11263940.7407,87136272.5926,81777600.0,31638163.623
1987-10-16,-2.62962962963,96.5574074074,103.333333333,20.6154264891,0.0138888888889,0.508888888889,0.5,0.0747506141847,0.00777777777778,0.257777777778,0.26,0.0743531778859,-0.0216666666667,0.233333333333,0.27,0.104986771653,7854666.66667,84593042.963,81777600.0,25908350.2649
1987-10-23,-3.12731481481,93.1777777778,103.333333333,21.8672107825,-0.045,0.5,0.5,0.0852447456836,-0.00833333333333,0.252222222222,0.26,0.0689247218634,0.0533333333333,0.247777777778,0.3,0.108297714942,10258637.037,89987946.6667,84632533.3333,28918151.1557
1987-10-30,-6.75,87.9740740741,73.5,24.2715916491,-0.0188888888889,0.47,0.46,0.0697614984549,0.0127777777778,0.254444444444,0.26,0.0700969346471,0.00611111111111,0.275555555556,0.3,0.086424162145,14860503.7037,107539650.37,96659200.0,45613522.1498
1987-11-06,-8.70277777778,80.562037037,71.7916666667,25.9793202158,0.00944444444444,0.461111111111,0.44,0.0678960716331,0.00611111111111,0.26,0.26,0.0658280588604,-0.0155555555556,0.278888888889,0.3,0.0878691507545,5163277.03704,113596420.741,96659200.0,48906010.9754
1987-11-13,-6.72268518519,73.0944444444,67.0416666667,24.236665546,0.00388888888889,0.466666666667,0.46,0.0663324958071,0.0166666666667,0.275555555556,0.29,0.0588993701364,-0.0205555555556,0.257777777778,0.3,0.0758328245811,1113250.37037,116019768.889,103587733.333,47797099.0633
1987-11-20,-10.3842592593,65.9027777778,64.5416666667,20.5467135638,-0.045,0.445555555556,0.44,0.0809816318146,0.0122222222222,0.295555555556,0.3,0.069619778657,0.0327777777778,0.258888888889,0.3,0.0760766345272,2614311.11111,117868740.741,103587733.333,45914806.19
1987-11-27,-2.32407407407,58.2222222222,56.5,10.5102279697,-0.0161111111111,0.422222222222,0.44,0.0608783445858,0.0333333333333,0.31,0.3,0.0797217382873,-0.0172222222222,0.267777777778,0.3,0.0614234442715,-986637.037037,119734044.444,103587733.333,43629747.2027
1987-12-04,-1.5037037037,55.9898148148,49.0833333333,10.5336056705,-0.0244444444444,0.393333333333,0.39,0.064463598686,0.0316666666667,0.342222222222,0.31,0.0750966455498,-0.00722222222222,0.264444444444,0.28,0.0603896810742,-4066400.0,115881718.519,103587733.333,47882388.0343
1987-12-11,-3.5712962963,53.6842592593,48.625,10.6793258535,-0.0294444444444,0.372222222222,0.39,0.0758328245811,-0.0188888888889,0.35,0.33,0.0696020433927,0.0483333333333,0.277777777778,0.28,0.0775711541143,-2992237.03704,115770548.148,103587733.333,47928028.3726
1987-12-18,-3.84259259259,50.462037037,47.7916666667,8.33116370933,-0.0155555555556,0.346666666667,0.37,0.080553639824,0.0233333333333,0.356666666667,0.33,0.075718777944,-0.00777777777778,0.296666666667,0.31,0.0635959467611,2673659.25926,111823822.222,103587733.333,47290717.7083
1987-12-24,-0.916666666667,48.1287037037,47.7916666667,3.66409234359,0.00166666666667,0.342222222222,0.33,0.0802465337123,0.00444444444444,0.367777777778,0.4,0.0739035073258,-0.00611111111111,0.29,0.28,0.062893207547,-17437392.5926,107577007.407,95658666.6667,47465486.6193
1987-12-31,1.15092592593,47.6953703704,47.7916666667,2.76995874839,-0.0188888888889,0.33,0.31,0.0804155872121,0.0433333333333,0.392222222222,0.41,0.0832369813348,-0.0244444444444,0.277777777778,0.27,0.0682768510922,-19128485.9259,88751063.7037,88640000.0,33340928.8568
1988-01-08,0.506944444444,48.6203703704,48.625,3.12449776485,-0.035,0.308888888889,0.28,0.0734006425107,0.0238888888889,0.421111111111,0.42,0.0650545829702,0.0111111111111,0.27,0.27,0.0658280588604,-6216722.96296,76696106.6667,77564266.6667,21717786.8501
